{StoreCacheSimple.array

	Read: 
	Distance	Number of Accesses
	1	1124706
	16	116732
	32	97982
	64	109951
	128	140794
	256	192938
	512	337634
	1K	424821
	2K	797967
	4K	711868
	8K	690824
	16K	637231
	32K	591243
	64K	442576
	128K	239144
	256K	221181
	512K	253762
	1M	175224
	2M	31636
	4M	19986

	Read:
	Frequency	Number of Blocks	Number of Accesses	Total Number of Blocks	Total Number of Accesses	Percentage of Blocks	Percentage of Accesses
	1	238968	238968	488918	7847118	1.000000	1.000000
	2	101775	247454	249950	7608150	0.511231	0.969547
	4	54522	292648	148175	7360696	0.303067	0.938013
	8	33576	318093	93653	7068048	0.191552	0.900719
	16	20154	408622	60077	6749955	0.122877	0.860183
	32	15344	726430	39923	6341333	0.081656	0.808110
	64	11541	987439	24579	5614903	0.050272	0.715537
	128	6389	1172632	13038	4627464	0.026667	0.589702
	256	5005	1756029	6649	3454832	0.013599	0.440268
	512	1418	949942	1644	1698803	0.003363	0.216488
	1K	151	206965	226	748861	0.000462	0.095431
	2K	39	107161	75	541896	0.000153	0.069057
	4K	14	79455	36	434735	0.000074	0.055401
	8K	13	137882	22	355280	0.000045	0.045275
	16K	7	147340	9	217398	0.000018	0.027704
	32K	2	70058	2	70058	0.000004	0.008928

	Read: 
	Frequency	Distance	Number of Accesses	Total Number of Accesses
	2	1	8611	1124706
	2	16	9072	116732
	2	32	11295	97982
	2	64	11982	109951
	2	128	11648	140794
	2	256	14316	192938
	2	512	15678	337634
	2	1K	29428	424821
	2	2K	32678	797967
	2	4K	34406	711868
	2	8K	34596	690824
	2	16K	51604	637231
	2	32K	93531	591243
	2	64K	63187	442576
	2	128K	56843	239144
	2	256K	51409	221181
	2	512K	105299	253762
	2	1M	69463	175224
	2	2M	31636	31636
	2	4M	19986	19986
	4	1	9994	1116095
	4	16	13886	107660
	4	32	13829	86687
	4	64	20275	97969
	4	128	24508	129146
	4	256	25658	178622
	4	512	29793	321956
	4	1K	34579	395393
	4	2K	37037	765289
	4	4K	68727	677462
	4	8K	60963	656228
	4	16K	55591	585627
	4	32K	68817	497712
	4	64K	115499	379389
	4	128K	84572	182301
	4	256K	150463	169772
	4	512K	148385	148463
	4	1M	105761	105761
	8	1	17641	1106101
	8	16	14384	93774
	8	32	10457	72858
	8	64	16484	77694
	8	128	31236	104638
	8	256	47620	152964
	8	512	66141	292163
	8	1K	63784	360814
	8	2K	73619	728252
	8	4K	85991	608735
	8	8K	110491	595265
	8	16K	122853	530036
	8	32K	166681	428895
	8	64K	131953	263890
	8	128K	90632	97729
	8	256K	19309	19309
	8	512K	78	78
	16	1	48907	1088460
	16	16	12559	79390
	16	32	7732	62401
	16	64	10615	61210
	16	128	21142	73402
	16	256	37801	105344
	16	512	79226	226022
	16	1K	96236	297030
	16	2K	124834	654633
	16	4K	136635	522744
	16	8K	150777	484774
	16	16K	180585	407183
	16	32K	134539	262214
	16	64K	106409	131937
	16	128K	7097	7097
	32	1	137508	1039553
	32	16	11222	66831
	32	32	6515	54669
	32	64	8146	50595
	32	128	13047	52260
	32	256	25837	67543
	32	512	50215	146796
	32	1K	87057	200794
	32	2K	180883	529799
	32	4K	152123	386109
	32	8K	160272	333997
	32	16K	135924	226598
	32	32K	119674	127675
	32	64K	25528	25528
	64	1	301537	902045
	64	16	6944	55609
	64	32	7736	48154
	64	64	6641	42449
	64	128	6831	39213
	64	256	9604	41706
	64	512	10405	96581
	64	1K	40170	113737
	64	2K	162475	348916
	64	4K	131642	233986
	64	8K	150325	173725
	64	16K	90674	90674
	64	32K	8001	8001
	128	1	322922	600508
	128	16	2367	48665
	128	32	5885	40418
	128	64	5192	35808
	128	128	8907	32382
	128	256	8240	32102
	128	512	15158	86176
	128	1K	21212	73567
	128	2K	121234	186441
	128	4K	90030	102344
	128	8K	23400	23400
	256	1	36254	277586
	256	16	7030	46298
	256	32	6575	34533
	256	64	8376	30616
	256	128	4037	23475
	256	256	7647	23862
	256	512	18670	71018
	256	1K	16366	52355
	256	2K	22048	65207
	256	4K	12314	12314
	512	1	24910	241332
	512	16	2882	39268
	512	32	4825	27958
	512	64	4157	22240
	512	128	11786	19438
	512	256	9263	16215
	512	512	12130	52348
	512	1K	6005	35989
	512	2K	21912	43159
	1K	1	31267	216422
	1K	16	8752	36386
	1K	32	12443	23133
	1K	64	12535	18083
	1K	128	7652	7652
	1K	256	6952	6952
	1K	512	11885	40218
	1K	1K	29984	29984
	1K	2K	21247	21247
	2K	1	9965	185155
	2K	16	20404	27634
	2K	32	10690	10690
	2K	64	5548	5548
	2K	512	28333	28333
	4K	1	78863	175190
	4K	16	7230	7230
	8K	1	32122	96327
	16K	1	64205	64205


	 Total Demote Distance
	Distance	Number of Accesses

	 Access Specific Demote Distance
	block number	demote number	hit number	miss number	hit perc
	488918	0	0	0	nan

	Frequency	# of Blocks	# of ALL Hit Blocks	# of One Miss Blocks	# of Demotes	# of Hits	# of Misses	Perc of local Hits	Perc of Blocks	Perc of Demotes	Perc of Hits	Perc of Misses	D-R Distance Mean	D-R Variance	R-D Mean	R-D Variance

	Freq	Distance	D-R	R-D

	Reqlens:
	Lens	Number of Req	Perc
	1	1041137	0.132678
	2	6765453	0.862158
	4	7097	0.000904
	8	11361	0.001448
	16	4144	0.000528
	32	17094	0.002178
	64	832	0.000106

{StoreCacheSimple.cello92.txt
