{StoreCacheSimple.Reg

	Read: 
	Distance	Number of Accesses
	1	122083
	16	72380
	32	148156
	64	222917
	128	302659
	256	377828
	512	469591
	1K	558143
	2K	658577
	4K	737708
	8K	719911
	16K	630581
	32K	1045121
	64K	241523

	Read:
	Frequency	Number of Blocks	Number of Accesses	Total Number of Blocks	Total Number of Accesses	Percentage of Blocks	Percentage of Accesses
	128	12455	2439323	16384	6323562	1.000000	1.000000
	256	2308	774482	3929	3884239	0.239807	0.614249
	512	830	618810	1621	3109757	0.098938	0.491773
	1K	543	725172	791	2490947	0.048279	0.393915
	2K	113	300785	248	1765775	0.015137	0.279237
	4K	90	488253	135	1464990	0.008240	0.231672
	8K	21	286067	45	976737	0.002747	0.154460
	16K	15	282446	24	690670	0.001465	0.109222
	32K	9	408224	9	408224	0.000549	0.064556

	Read: 
	Frequency	Distance	Number of Accesses	Total Number of Accesses
	2	1	1038	122083
	2	16	1814	72380
	2	32	3758	148156
	2	64	6208	222917
	2	128	9002	302659
	2	256	9725	377828
	2	512	5850	469591
	2	1K	1733	558143
	2	2K	236	658577
	2	4K	28	737708
	2	8K	19	719911
	2	16K	6	630581
	2	32K	459	1045121
	2	64K	292	241523
	4	1	1128	121045
	4	16	1249	70566
	4	32	3860	144398
	4	64	4460	216709
	4	128	8392	293657
	4	256	17358	368103
	4	512	29407	463741
	4	1K	23122	556410
	4	2K	9811	658341
	4	4K	1330	737680
	4	8K	325	719892
	4	16K	145	630575
	4	32K	476	1044662
	4	64K	2700	241231
	8	1	2523	119917
	8	16	1025	69317
	8	32	2746	140538
	8	64	5775	212249
	8	128	9556	285265
	8	256	9546	350745
	8	512	23868	434334
	8	1K	60837	533288
	8	2K	69006	648530
	8	4K	39776	736350
	8	8K	10271	719567
	8	16K	1164	630430
	8	32K	1675	1044186
	8	64K	52751	238531
	16	1	2912	117394
	16	16	883	68292
	16	32	2328	137792
	16	64	4800	206474
	16	128	13171	275709
	16	256	11436	341199
	16	512	21132	410466
	16	1K	31309	472451
	16	2K	92947	579524
	16	4K	165378	696574
	16	8K	167408	709296
	16	16K	124895	629266
	16	32K	8167	1042511
	16	64K	185687	185780
	32	1	4576	114482
	32	16	1828	67409
	32	32	2098	135464
	32	64	3809	201674
	32	128	5101	262538
	32	256	36503	329763
	32	512	23896	389334
	32	1K	35351	441142
	32	2K	46200	486577
	32	4K	104334	531196
	32	8K	225084	541888
	32	16K	399040	504371
	32	32K	119978	1034344
	32	64K	93	93
	64	1	5172	109906
	64	16	7011	65581
	64	32	1486	133366
	64	64	5216	197865
	64	128	8210	257437
	64	256	6892	293260
	64	512	24751	365438
	64	1K	51097	405791
	64	2K	52578	440377
	64	4K	69559	426862
	64	8K	123026	316804
	64	16K	105331	105331
	64	32K	914366	914366
	128	1	3933	104734
	128	16	1045	58570
	128	32	14024	131880
	128	64	3079	192649
	128	128	8587	249227
	128	256	13889	286368
	128	512	66972	340687
	128	1K	109050	354694
	128	2K	124487	387799
	128	4K	164261	357303
	128	8K	193778	193778
	256	1	5104	100801
	256	16	1443	57525
	256	32	2422	117856
	256	64	25108	189570
	256	128	19826	240640
	256	256	16004	272479
	256	512	27431	273715
	256	1K	44285	245644
	256	2K	123510	263312
	256	4K	193042	193042
	512	1	8972	95697
	512	16	18845	56082
	512	64	4195	164462
	512	128	29961	220814
	512	256	59284	256475
	512	512	48893	246284
	512	1K	50930	201359
	512	2K	139802	139802
	1K	1	12104	86725
	1K	16	2708	37237
	1K	32	36369	115434
	1K	64	26604	160267
	1K	128	3389	190853
	1K	256	24358	197191
	1K	512	94421	197391
	1K	1K	150429	150429
	2K	1	5000	74621
	2K	16	24230	34529
	2K	32	9992	79065
	2K	64	43037	133663
	2K	128	85488	187464
	2K	256	82491	172833
	2K	512	102970	102970
	4K	1	47758	69621
	4K	16	10299	10299
	4K	32	48807	69073
	4K	64	18003	90626
	4K	128	33868	101976
	4K	256	90342	90342
	8K	1	21863	21863
	8K	32	20266	20266
	8K	64	72623	72623
	8K	128	68108	68108


	 Total Demote Distance
	Distance	Number of Accesses

	 Access Specific Demote Distance
	block number	demote number	hit number	miss number	hit perc
	16384	0	0	0	nan

	Frequency	# of Blocks	# of ALL Hit Blocks	# of One Miss Blocks	# of Demotes	# of Hits	# of Misses	Perc of local Hits	Perc of Blocks	Perc of Demotes	Perc of Hits	Perc of Misses	D-R Distance Mean	D-R Variance	R-D Mean	R-D Variance

	Freq	Distance	D-R	R-D

{StoreCacheLRU2ADDRESS.Buffer
	{size {total=67108864} }
	{readHitsPerOrig {httpd.1.txt=803229} {httpd.2.txt=991371} {httpd.3.txt=828986} {httpd.4.txt=839248} {httpd.5.txt=772548} {httpd.6.txt=865481} {httpd.7.txt=365398} }
	{readMissesPerOrig {httpd.1.txt=147148} {httpd.2.txt=162768} {httpd.3.txt=134940} {httpd.4.txt=152295} {httpd.5.txt=120137} {httpd.6.txt=128580} {httpd.7.txt=11433} }
	{read {hits=5466261} {misses=857301} }
	{demoteHitsPerOrig }
	{demoteMissesPerOrig }
	{demote {hits=0} {misses=0} }
	{coopHitsPerOrigPerOrig }
	{cooperative {hits=0} }
}
}
