{StoreCacheSimple.array

	Read: 
	Distance	Number of Accesses
	1	19351
	16	12001
	32	19707
	64	30572
	128	38871
	256	59198
	512	76625
	1K	80440
	2K	94394
	4K	103824
	8K	105218
	16K	97298
	32K	72861
	64K	51811
	128K	23879
	256K	13792
	512K	1491

	Read:
	Frequency	Number of Blocks	Number of Accesses	Total Number of Blocks	Total Number of Accesses	Percentage of Blocks	Percentage of Accesses
	1	11628	11628	49044	950377	1.000000	1.000000
	2	10643	24129	37416	938749	0.762907	0.987765
	4	9134	47856	26773	914620	0.545898	0.962376
	8	6619	72646	17639	866764	0.359657	0.912021
	16	5004	115205	11020	794118	0.224696	0.835582
	32	3265	146702	6016	678913	0.122665	0.714362
	64	1645	139210	2751	532211	0.056092	0.560000
	128	835	139796	1106	393001	0.022551	0.413521
	256	118	46336	271	253205	0.005526	0.266426
	512	101	73927	153	206869	0.003120	0.217670
	1K	36	56342	52	132942	0.001060	0.139883
	2K	7	19458	16	76600	0.000326	0.080600
	4K	8	48894	9	57142	0.000184	0.060126
	8K	1	8248	1	8248	0.000020	0.008679

	Read: 
	Frequency	Distance	Number of Accesses	Total Number of Accesses
	2	1	360	19351
	2	16	648	12001
	2	32	1564	19707
	2	64	2724	30572
	2	128	4359	38871
	2	256	5797	59198
	2	512	8967	76625
	2	1K	8603	80440
	2	2K	8956	94394
	2	4K	8072	103824
	2	8K	9508	105218
	2	16K	12483	97298
	2	32K	13355	72861
	2	64K	17214	51811
	2	128K	19425	23879
	2	256K	13792	13792
	2	512K	1491	1491
	4	1	314	18991
	4	16	442	11353
	4	32	942	18143
	4	64	2566	27848
	4	128	2583	34512
	4	256	5254	53401
	4	512	8812	67658
	4	1K	7846	71837
	4	2K	10377	85438
	4	4K	15732	95752
	4	8K	13632	95710
	4	16K	21557	84815
	4	32K	29153	59506
	4	64K	33645	34597
	4	128K	4454	4454
	8	1	805	18677
	8	16	506	10911
	8	32	899	17201
	8	64	538	25282
	8	128	1504	31929
	8	256	8476	48147
	8	512	5869	58846
	8	1K	10756	63991
	8	2K	16234	75061
	8	4K	13511	80020
	8	8K	28288	82078
	8	16K	44746	63258
	8	32K	30353	30353
	8	64K	952	952
	16	1	1097	17872
	16	16	1278	10405
	16	32	1233	16302
	16	64	1721	24744
	16	128	1411	30425
	16	256	1872	39671
	16	512	12566	52977
	16	1K	16375	53235
	16	2K	18017	58827
	16	4K	29015	66509
	16	8K	44905	53790
	16	16K	18512	18512
	32	1	2059	16775
	32	16	498	9127
	32	32	1425	15069
	32	64	3875	23023
	32	128	2976	29014
	32	256	2725	37799
	32	512	3275	40411
	32	1K	2370	36860
	32	2K	18835	40810
	32	4K	34748	37494
	32	8K	8885	8885
	64	1	1090	14716
	64	16	1828	8629
	64	32	1217	13644
	64	64	1354	19148
	64	128	5146	26038
	64	256	9251	35074
	64	512	5799	37136
	64	1K	10199	34490
	64	2K	18636	21975
	64	4K	2746	2746
	128	1	836	13626
	128	16	699	6801
	128	32	2634	12427
	128	64	4972	17794
	128	128	1360	20892
	128	256	4274	25823
	128	512	14457	31337
	128	1K	24291	24291
	128	2K	3339	3339
	256	1	1768	12790
	256	16	872	6102
	256	32	1223	9793
	256	64	2205	12822
	256	128	7235	19532
	256	256	10515	21549
	256	512	16880	16880
	512	1	1556	11022
	512	16	4206	5230
	512	32	5142	8570
	512	64	1698	10617
	512	128	4224	12297
	512	256	11034	11034
	1K	1	9466	9466
	1K	16	1024	1024
	1K	32	3428	3428
	1K	64	8919	8919
	1K	128	8073	8073


	 Total Demote Distance
	Distance	Number of Accesses

	 Access Specific Demote Distance
	block number	demote number	hit number	miss number	hit perc
	49044	0	0	0	nan

	Frequency	# of Blocks	# of ALL Hit Blocks	# of One Miss Blocks	# of Demotes	# of Hits	# of Misses	Perc of local Hits	Perc of Blocks	Perc of Demotes	Perc of Hits	Perc of Misses	D-R Distance Mean	D-R Variance	R-D Mean	R-D Variance

	Freq	Distance	D-R	R-D

	Reqlens:
	Lens	Number of Req	Perc
	1	77158	0.081187
	2	93768	0.098664
	4	84985	0.089422
	8	109809	0.115543
	16	178033	0.187329
	32	406624	0.427855

{StoreCacheSimple.httpd.1.txt
